City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,cadale,2.7603,46.3222,24.51,86,72,7.38,SO,1691617799
312,box elder,41.5005,-112.8764,23.76,41,71,2.31,US,1691617799
313,rongelap,11.1635,166.8941,27.98,76,39,3.42,MH,1691617799
314,lichinga,-13.3128,35.2406,12.0,67,0,3.4,MZ,1691617799
315,tazacorte,28.629,-17.9293,24.54,92,0,7.72,ES,1691617799
316,puerto ayora,-0.7393,-90.3518,28.98,88,99,4.02,EC,1691617799
317,gumdag,39.2061,54.5906,31.21,22,0,1.31,TM,1691617800
318,impfondo,1.6381,18.0667,22.61,93,100,1.06,CG,1691617800
319,santana,-0.0583,-51.1817,29.1,79,75,4.63,BR,1691617528
320,qamdo,31.1667,97.2333,7.38,74,100,0.92,CN,1691617773
321,tazovsky,67.4667,78.7,7.9,86,85,8.64,RU,1691617800
322,flying fish cove,-10.4217,105.6791,23.82,88,75,5.14,CX,1691617800
323,cabedelo,-6.9811,-34.8339,26.37,79,42,7.41,BR,1691617801
324,zag,46.9441,99.165,11.12,88,8,1.44,MN,1691617801
325,orkney,-26.9802,26.6727,10.18,58,0,3.33,ZA,1691617801
326,kahriz,34.3838,47.0553,27.58,26,6,2.27,IR,1691617801
327,tequila,20.8833,-103.8333,32.62,33,11,2.49,MX,1691617802
328,angaur state,6.906,134.13,28.24,80,99,8.82,PW,1691617802
329,abra pampa,-22.7205,-65.697,13.26,8,14,1.44,AR,1691617676
330,levuka,50.1834,-105.4011,15.85,67,100,7.2,CA,1691617803
331,mount gambier,-37.8333,140.7667,10.17,71,100,4.34,AU,1691617803
332,songea,-10.6833,35.65,13.51,64,5,1.38,TZ,1691617803
333,bhinmal,25.0,72.25,25.85,83,67,5.78,IN,1691617338
334,sainte-anne,16.2333,-61.3667,27.02,94,75,1.54,GP,1691617804
335,saint-joseph,-21.3667,55.6167,19.21,76,19,2.89,RE,1691617804
336,muleshoe,34.2265,-102.7238,35.84,8,2,2.59,US,1691617804
337,novyy urgal,51.0736,132.5642,17.62,72,79,0.83,RU,1691617697
338,adre,13.4667,22.2,22.17,87,100,3.48,TD,1691617804
339,dhuusamarreeb,5.535,46.3861,23.92,68,60,8.46,SO,1691617805
340,sitka,57.0531,-135.33,15.94,82,100,2.57,US,1691617805
341,abadan,30.3392,48.3043,34.97,52,20,2.06,IR,1691617639
342,lejanias,3.5251,-74.0216,25.06,89,47,0.4,CO,1691617805
343,leh,34.1667,77.5833,18.19,37,2,2.18,IN,1691617805
344,naxos,37.1056,25.3764,26.28,71,0,9.39,GR,1691617805
345,cole harbour,44.6724,-63.4751,19.98,96,100,3.6,CA,1691617589
346,katsuura,35.1333,140.3,26.87,80,82,5.16,JP,1691617806
347,bemidji,47.4736,-94.8803,23.36,54,40,4.12,US,1691617559
348,shenjiamen,29.9576,122.298,26.72,90,4,6.36,CN,1691617806
349,kaedi,16.1465,-13.5047,35.67,26,17,4.11,MR,1691617806
350,lesnoy,57.6198,63.0784,16.73,66,100,1.97,RU,1691617806
351,marsh harbour,26.5412,-77.0636,29.92,70,83,0.61,BS,1691617807
352,crane,31.3974,-102.3501,40.85,13,1,2.44,US,1691617807
353,mammoth lakes,37.6485,-118.9721,26.4,11,0,7.72,US,1691617807
354,laojunmiao,39.8333,97.7333,19.14,63,91,1.59,CN,1691617604
355,dholka,22.7167,72.4667,27.21,75,100,5.63,IN,1691617807
356,camana,-16.6228,-72.7111,18.19,81,63,2.33,PE,1691617703
357,slave lake,55.2834,-114.769,15.99,100,100,3.6,CA,1691617807
358,pascagoula,30.3658,-88.5561,34.84,68,20,2.06,US,1691617772
359,oruro,-17.9833,-67.15,12.88,17,1,3.18,BO,1691617242
360,gouyave,12.1646,-61.7296,28.43,84,40,5.66,GD,1691617808
361,villa de san francisco,14.1667,-86.9667,31.71,42,94,1.28,HN,1691617808
362,filadelfia,39.9523,-75.1638,31.49,46,40,5.66,US,1691617712
363,kalabo,-14.97,22.6814,16.74,34,2,2.95,ZM,1691617808
